lammps data file written by polyGraft 

2218 atoms
9267 bonds
0 angles
0 dihedrals
0 impropers

2 atom types
3 bond types
0 angle types
0 dihedral types
0 improper types

0.000 21.920 xlo xhi
0.000 21.920 ylo yhi
0.000 6.364 zlo zhi

Atoms

1 1 1 18.564 10.647 0.707
2 1 1 17.564 10.662 0.707
3 1 1 16.564 10.678 0.707
4 1 1 15.564 10.693 0.707
5 1 1 14.564 10.708 0.707
6 1 1 13.564 10.724 0.707
7 2 1 18.564 10.647 3.536
8 2 1 17.564 10.662 3.536
9 2 1 16.564 10.678 3.536
10 2 1 15.564 10.693 3.536
11 2 1 14.564 10.708 3.536
12 2 1 13.564 10.724 3.536
13 3 1 18.062 13.825 1.414
14 3 1 17.140 13.438 1.414
15 3 1 16.218 13.052 1.414
16 3 1 15.295 12.665 1.414
17 3 1 14.373 12.278 1.414
18 3 1 13.451 11.892 1.414
19 4 1 18.062 13.825 4.243
20 4 1 17.140 13.438 4.243
21 4 1 16.218 13.052 4.243
22 4 1 15.295 12.665 4.243
23 4 1 14.373 12.278 4.243
24 4 1 13.451 11.892 4.243
25 5 1 17.053 15.985 1.414
26 5 1 16.283 15.346 1.414
27 5 1 15.514 14.708 1.414
28 5 1 14.745 14.069 1.414
29 5 1 13.975 13.430 1.414
30 5 1 13.206 12.791 1.414
31 6 1 17.053 15.985 4.243
32 6 1 16.283 15.346 4.243
33 6 1 15.514 14.708 4.243
34 6 1 14.745 14.069 4.243
35 6 1 13.975 13.430 4.243
36 6 1 13.206 12.791 4.243
37 7 1 14.886 17.535 0.707
38 7 1 14.366 16.681 0.707
39 7 1 13.846 15.827 0.707
40 7 1 13.326 14.973 0.707
41 7 1 12.806 14.118 0.707
42 7 1 12.286 13.264 0.707
43 8 1 14.886 17.535 3.536
44 8 1 14.366 16.681 3.536
45 8 1 13.846 15.827 3.536
46 8 1 13.326 14.973 3.536
47 8 1 12.806 14.118 3.536
48 8 1 12.286 13.264 3.536
49 9 1 12.779 18.646 0.707
50 9 1 12.532 17.677 0.707
51 9 1 12.284 16.708 0.707
52 9 1 12.037 15.739 0.707
53 9 1 11.789 14.770 0.707
54 9 1 11.542 13.801 0.707
55 10 1 12.779 18.646 3.536
56 10 1 12.532 17.677 3.536
57 10 1 12.284 16.708 3.536
58 10 1 12.037 15.739 3.536
59 10 1 11.789 14.770 3.536
60 10 1 11.542 13.801 3.536
61 11 1 10.119 18.572 1.414
62 11 1 10.201 17.576 1.414
63 11 1 10.284 16.579 1.414
64 11 1 10.367 15.583 1.414
65 11 1 10.450 14.586 1.414
66 11 1 10.532 13.589 1.414
67 12 1 10.119 18.572 4.243
68 12 1 10.201 17.576 4.243
69 12 1 10.284 16.579 4.243
70 12 1 10.367 15.583 4.243
71 12 1 10.450 14.586 4.243
72 12 1 10.532 13.589 4.243
73 13 1 8.011 18.028 0.707
74 13 1 8.366 17.093 0.707
75 13 1 8.721 16.159 0.707
76 13 1 9.075 15.224 0.707
77 13 1 9.430 14.289 0.707
78 13 1 9.785 13.354 0.707
79 14 1 8.011 18.028 3.536
