lammps data file written by polyGraft 

1148 atoms
5124 bonds
0 angles
0 dihedrals
0 impropers

2 atom types
3 bond types
0 angle types
0 dihedral types
0 improper types

-5.009 16.842 xlo xhi
-5.371 16.679 ylo yhi
0.000 13.435 zlo zhi

Atoms

1 1 1 11.842 5.635 0.707
2 1 1 12.842 5.627 0.707
3 1 1 13.842 5.619 0.707
4 1 1 14.842 5.610 0.707
5 1 1 15.842 5.602 0.707
6 1 1 16.842 5.594 0.707
7 2 1 11.842 5.635 3.536
8 2 1 12.842 5.627 3.536
9 2 1 13.842 5.619 3.536
10 2 1 14.842 5.610 3.536
11 2 1 15.842 5.602 3.536
12 2 1 16.842 5.594 3.536
13 3 1 11.842 5.635 7.778
14 3 1 12.842 5.627 7.778
15 3 1 13.842 5.619 7.778
16 3 1 14.842 5.610 7.778
17 3 1 15.842 5.602 7.778
18 3 1 16.842 5.594 7.778
19 4 1 11.842 5.635 10.607
20 4 1 12.842 5.627 10.607
21 4 1 13.842 5.619 10.607
22 4 1 14.842 5.610 10.607
23 4 1 15.842 5.602 10.607
24 4 1 16.842 5.594 10.607
25 5 1 9.365 10.608 0.707
26 5 1 9.963 11.409 0.707
27 5 1 10.562 12.210 0.707
28 5 1 11.161 13.011 0.707
29 5 1 11.759 13.812 0.707
30 5 1 12.358 14.613 0.707
31 6 1 10.359 10.359 4.243
32 6 1 11.066 11.066 4.243
33 6 1 11.773 11.773 4.243
34 6 1 12.480 12.480 4.243
35 6 1 13.188 13.188 4.243
36 6 1 13.895 13.895 4.243
37 7 1 10.359 10.359 7.071
38 7 1 11.066 11.066 7.071
39 7 1 11.773 11.773 7.071
40 7 1 12.480 12.480 7.071
41 7 1 13.188 13.188 7.071
42 7 1 13.895 13.895 7.071
43 8 1 9.365 10.608 10.607
44 8 1 9.963 11.409 10.607
45 8 1 10.562 12.210 10.607
46 8 1 11.161 13.011 10.607
47 8 1 11.759 13.812 10.607
48 8 1 12.358 14.613 10.607
49 9 1 3.234 11.643 0.707
50 9 1 2.854 12.568 0.707
51 9 1 2.473 13.493 0.707
52 9 1 2.092 14.417 0.707
53 9 1 1.712 15.342 0.707
54 9 1 1.331 16.267 0.707
55 10 1 4.405 11.786 4.243
56 10 1 4.200 12.765 4.243
57 10 1 3.995 13.743 4.243
58 10 1 3.789 14.722 4.243
59 10 1 3.584 15.701 4.243
60 10 1 3.378 16.679 4.243
