lammps data file written by polyGraft 

500 atoms
1876 bonds
0 angles
0 dihedrals
0 impropers

2 atom types
3 bond types
0 angle types
0 dihedral types
0 improper types

0.000 9.192 xlo xhi
0.000 9.192 ylo yhi
0.000 15.771 zlo zhi

Atoms

1 1 1 1.414 2.121 4.771
2 1 1 1.414 2.121 5.771
3 1 1 1.414 2.121 6.771
4 1 1 1.414 2.121 7.771
5 1 1 1.414 2.121 8.771
6 1 1 1.414 2.121 9.771
7 1 1 1.414 2.121 10.771
8 1 1 1.414 2.121 11.771
9 1 1 1.414 2.121 12.771
10 1 1 1.414 2.121 13.771
11 1 1 1.414 2.121 14.771
12 1 1 1.414 2.121 15.771
13 2 1 1.414 4.950 4.771
14 2 1 1.414 4.950 5.771
15 2 1 1.414 4.950 6.771
16 2 1 1.414 4.950 7.771
17 2 1 1.414 4.950 8.771
18 2 1 1.414 4.950 9.771
19 2 1 1.414 4.950 10.771
20 2 1 1.414 4.950 11.771
21 2 1 1.414 4.950 12.771
22 2 1 1.414 4.950 13.771
23 2 1 1.414 4.950 14.771
24 2 1 1.414 4.950 15.771
25 3 1 1.414 7.778 4.771
26 3 1 1.414 7.778 5.771
27 3 1 1.414 7.778 6.771
28 3 1 1.414 7.778 7.771
29 3 1 1.414 7.778 8.771
30 3 1 1.414 7.778 9.771
31 3 1 1.414 7.778 10.771
32 3 1 1.414 7.778 11.771
33 3 1 1.414 7.778 12.771
34 3 1 1.414 7.778 13.771
35 3 1 1.414 7.778 14.771
36 3 1 1.414 7.778 15.771
37 4 1 4.950 1.414 4.771
38 4 1 4.950 1.414 5.771
39 4 1 4.950 1.414 6.771
40 4 1 4.950 1.414 7.771
41 4 1 4.950 1.414 8.771
42 4 1 4.950 1.414 9.771
43 4 1 4.950 1.414 10.771
44 4 1 4.950 1.414 11.771
45 4 1 4.950 1.414 12.771
46 4 1 4.950 1.414 13.771
47 4 1 4.950 1.414 14.771
48 4 1 4.950 1.414 15.771
49 5 1 4.243 4.950 4.771
50 5 1 4.243 4.950 5.771
51 5 1 4.243 4.950 6.771
52 5 1 4.243 4.950 7.771
53 5 1 4.243 4.950 8.771
54 5 1 4.243 4.950 9.771
55 5 1 4.243 4.950 10.771
56 5 1 4.243 4.950 11.771
57 5 1 4.243 4.950 12.771
58 5 1 4.243 4.950 13.771
59 5 1 4.243 4.950 14.771
60 5 1 4.243 4.950 15.771
61 6 1 4.243 7.778 4.771
62 6 1 4.243 7.778 5.771
63 6 1 4.243 7.778 6.771
64 6 1 4.243 7.778 7.771
65 6 1 4.243 7.778 8.771
66 6 1 4.243 7.778 9.771
67 6 1 4.243 7.778 10.771
68 6 1 4.243 7.778 11.771
69 6 1 4.243 7.778 12.771
70 6 1 4.243 7.778 13.771
71 6 1 4.243 7.778 14.771
72 6 1 4.243 7.778 15.771
73 7 1 7.778 1.414 4.771
74 7 1 7.778 1.414 5.771
75 7 1 7.778 1.414 6.771
76 7 1 7.778 1.414 7.771
77 7 1 7.778 1.414 8.771
78 7 1 7.778 1.414 9.771
79 7 1 7.778 1.414 10.771
80 7 1 7.778 1.414 11.771
81 7 1 7.778 1.414 12.771
82 7 1 7.778 1.414 13.771
83 7 1 7.778 1.414 14.771
84 7 1 7.778 1.414 15.771
85 8 1 7.778 4.243 4.771
86 8 1 7.778 4.243 5.771
87 8 1 7.778 4.243 6.771
88 8 1 7.778 4.243 7.771
89 8 1 7.778 4.243 8.771
90 8 1 7.778 4.243 9.771
91 8 1 7.778 4.243 10.771
92 8 1 7.778 4.243 11.771
93 8 1 7.778 4.243 12.771
94 8 1 7.778 4.243 13.771
95 8 1 7.778 4.243 14.771
96 8 1 7.778 4.243 15.771
97 9 1 8.485 7.778 4.771
98 9 1 8.485 7.778 5.771
99 9 1 8.485 7.778 6.771
100 9 1 8.485 7.778 7.771
101 9 1 8.485 7.778 8.771
102 9 1 8.485 7.778 9.771
103 9 1 8.485 7.778 10.771
104 9 1 8.485 7.778 11.771
